P $F$ $C$ $B$ $A$
0.65 2.88116 2.88213 2.88352 2.88209
1.00 3.13000 3.13000 3.13000 3.13000
1.15 3.23586 3.23979 3.23980 3.24019
1.50 3.51000 3.51000 3.51000 3.51000
1.65 3.63423 3.63295 3.63291 3.63221
2.00 3.94000 3.94000 3.94000 3.94000
2.15 4.08165 4.08118 4.08133 4.08114
2.50 4.43000 4.43000 4.43000 4.43000
2.65 4.58415 4.58626 4.58569 4.58635
3.00 4.97000 4.97000 4.97000 4.97000
3.15 5.14851 5.14483 5.14696 5.14432
3.50 5.58000 5.58000 5.58000 5.58000
3.65 5.78235 5.77861 5.77063 5.77849
4.00 6.27000 6.27000 6.27000 6.27000
4.15 6.49422 6.49234 6.52211 6.49181
4.50 7.04000 7.04000 7.04000 7.04000
4.65 7.29374 7.28817 7.26706 7.28919
5.00 7.91000 7.91000 7.91000 7.91000
5.15 8.19168 8.19418 8.21293 8.23900
